Date Time,Event,Actual
2/16/12,MBA Mortgage Foreclosures,4.38%
2/16/12,Philadelphia Fed Business Outlook,10.2
2/17/12,CPI MoM,0.20%
2/17/12,CPI Ex Food and Energy MoM,0.20%
2/17/12,CPI YoY,2.90%
2/17/12,CPI Ex Food and Energy YoY,2.30%
2/17/12,CPI Index NSA,226.665
2/17/12,CPI Core Index SA,227.684
2/17/12,Leading Index,0.40%
2/21/12,Chicago Fed Nat Activity Index,0.22
2/22/12,MBA Mortgage Applications,-4.50%
2/22/12,Existing Home Sales,4.57
2/22/12,Existing Home Sales MoM,4.30%
2/23/12,Initial Jobless Claims,351
2/23/12,Continuing Claims,3392
2/23/12,Langer Consumer Comfort,-38.4
2/23/12,FHFA House Price Index MoM,0.70%
2/23/12,House Price Purchase Index QoQ,-0.10%
2/23/12,Kansas City Fed Manf. Activity,13
2/24/12,U. of Mich. Sentiment,75.3
2/24/12,New Home Sales,321
2/24/12,New Home Sales MoM,-0.90%
2/27/12,Pending Home Sales MoM,2.00%
2/27/12,Pending Home Sales NSA YoY,10.30%
2/27/12,Dallas Fed Manf. Activity,17.8
2/28/12,Durable Goods Orders,-4.00%
2/28/12,Durables Ex Transportation,-3.20%
2/28/12,Cap Goods Orders Nondef Ex Air,-4.50%
2/28/12,Cap Goods Ship Nondef Ex Air,-3.10%
2/28/12,Richmond Fed Manufact. Index,20
2/28/12,Conf. Board Consumer Confidence,70.8
2/29/12,MBA Mortgage Applications,-0.30%
2/29/12,GDP Annualized QoQ,3.00%
2/29/12,Personal Consumption,2.10%
2/29/12,GDP Price Index,0.90%
2/29/12,Core PCE QoQ,1.30%
2/29/12,MNI Chicago PMI,64
3/1/12,Personal Income,0.30%
3/1/12,Personal Spending,0.20%
3/1/12,PCE Deflator YoY,2.40%
3/1/12,PCE Core Deflator MoM,0.20%
3/1/12,PCE Core Deflator YoY,1.90%
3/1/12,Initial Jobless Claims,351
3/1/12,Continuing Claims,3402
3/1/12,Langer Consumer Comfort,-38.8
3/1/12,Construction Spending MoM,-0.10%
3/1/12,ISM Prices Paid,61.5
3/1/12,ISM Manufacturing,52.4
3/1/12,Wards Total Vehicle Sales,15.03
3/5/12,Factory Orders,-1.00%
3/5/12,ISM Services Index,57.3
3/7/12,MBA Mortgage Applications,-1.20%
3/7/12,ADP Employment Change,216
3/7/12,Nonfarm Productivity,0.90%
3/7/12,Unit Labor Costs,2.80%
3/7/12,Consumer Credit,$17.78 
3/8/12,Challenger Job Cuts YoY,2.00%
3/8/12,Initial Jobless Claims,362
3/8/12,Continuing Claims,3416
3/8/12,Langer Consumer Comfort,-36.7
3/9/12,Trade Balance,($52.60)
3/9/12,Change in Nonfarm Payrolls,227
3/9/12,Change in Private Payrolls,233
3/9/12,Change in Manufact. Payrolls,31
3/9/12,Unemployment Rate,8.30%
3/9/12,Average Hourly Earnings MoM,0.10%
3/9/12,Average Hourly Earnings YoY,1.90%
3/9/12,Average Weekly Hours All Employees,34.5
3/9/12,Underemployment Rate,14.90%
3/9/12,Wholesale Inventories MoM,0.40%
3/12/12,Monthly Budget Statement,($231.70)
3/13/12,NFIB Small Business Optimism,94.3
3/13/12,Retail Sales Advance MoM,1.10%
3/13/12,Retail Sales Ex Auto MoM,0.90%
3/13/12,Retail Sales Ex Auto and Gas,0.60%
3/13/12,Retail Sales Control Group,0.50%
3/13/12,Business Inventories,0.70%
3/13/12,JOLTS Job Openings,3459
3/13/12,FOMC Rate Decision (Upper Bound),0.25%
3/14/12,MBA Mortgage Applications,-2.40%
3/14/12,Current Account Balance,($124.10)
3/14/12,Import Price Index MoM,0.40%
3/14/12,Import Price Index YoY,5.50%
3/15/12,Empire Manufacturing,20.2
3/15/12,Initial Jobless Claims,351
3/15/12,Continuing Claims,3343
3/15/12,Total Net TIC Flows,$18.80 
3/15/12,Net Long-term TIC Flows,$101.00 
3/15/12,Langer Consumer Comfort,-33.7
3/15/12,Philadelphia Fed Business Outlook,12.5
3/16/12,CPI MoM,0.40%
3/16/12,CPI Ex Food and Energy MoM,0.10%
3/16/12,CPI YoY,2.90%
3/16/12,CPI Ex Food and Energy YoY,2.20%
3/16/12,CPI Index NSA,227.663
3/16/12,CPI Core Index SA,227.907
3/16/12,Industrial Production MoM,0.00%
3/16/12,Capacity Utilization,78.70%
3/16/12,U. of Mich. Sentiment,74.3
3/19/12,NAHB Housing Market Index,28
3/20/12,Housing Starts,698
3/20/12,Housing Starts MoM,-1.10%
3/20/12,Building Permits,717
3/21/12,MBA Mortgage Applications,-7.40%
3/21/12,Existing Home Sales,4.59
3/21/12,Existing Home Sales MoM,-0.90%
3/22/12,Initial Jobless Claims,348
3/22/12,Continuing Claims,3352
3/22/12,Langer Consumer Comfort,-34.9
3/22/12,FHFA House Price Index MoM,0.00%
3/22/12,Leading Index,0.70%
3/23/12,New Home Sales,313
3/23/12,New Home Sales MoM,-1.60%
3/26/12,Chicago Fed Nat Activity Index,-0.09
3/26/12,Pending Home Sales MoM,-0.50%
3/26/12,Pending Home Sales NSA YoY,13.90%
3/26/12,Dallas Fed Manf. Activity,10.8
3/27/12,Richmond Fed Manufact. Index,7
3/27/12,Conf. Board Consumer Confidence,70.2
3/28/12,MBA Mortgage Applications,-2.70%
3/28/12,Durable Goods Orders,2.20%
3/28/12,Durables Ex Transportation,1.60%
3/28/12,Cap Goods Orders Nondef Ex Air,1.20%
3/28/12,Cap Goods Ship Nondef Ex Air,1.40%
3/29/12,GDP Annualized QoQ,3.00%
3/29/12,Personal Consumption,2.10%
3/29/12,GDP Price Index,0.90%
3/29/12,Core PCE QoQ,1.30%
3/29/12,Initial Jobless Claims,359
3/29/12,Continuing Claims,3340
3/29/12,Langer Consumer Comfort,-34.7
3/29/12,Kansas City Fed Manf. Activity,9
3/30/12,Personal Income,0.20%
3/30/12,Personal Spending,0.80%
3/30/12,PCE Deflator MoM,0.30%
3/30/12,PCE Deflator YoY,2.30%
3/30/12,PCE Core Deflator MoM,0.10%
3/30/12,PCE Core Deflator YoY,1.90%
3/30/12,MNI Chicago PMI,62.2
3/30/12,U. of Mich. Sentiment,76.2
4/2/12,Construction Spending MoM,-1.10%
4/2/12,ISM Prices Paid,61
4/2/12,ISM Manufacturing,53.4
4/3/12,Factory Orders,1.30%
4/3/12,FOMC Meeting Minutes,--
4/3/12,Wards Total Vehicle Sales,14.32
4/4/12,MBA Mortgage Applications,4.80%
4/4/12,ADP Employment Change,209
4/4/12,ISM Services Index,56
4/5/12,Challenger Job Cuts YoY,-8.80%
4/5/12,Initial Jobless Claims,357
4/5/12,Continuing Claims,3338
4/5/12,Langer Consumer Comfort,-31.4
4/6/12,Change in Nonfarm Payrolls,120
4/6/12,Change in Private Payrolls,121
4/6/12,Change in Manufact. Payrolls,37
4/6/12,Unemployment Rate,8.20%
4/6/12,Average Hourly Earnings MoM,0.20%
4/6/12,Average Hourly Earnings YoY,2.10%
4/6/12,Average Weekly Hours All Employees,34.5
4/6/12,Underemployment Rate,14.50%
4/6/12,Consumer Credit,$8.74 
4/10/12,NFIB Small Business Optimism,92.5
4/10/12,Wholesale Inventories MoM,0.90%
4/10/12,JOLTS Job Openings,3498
4/11/12,MBA Mortgage Applications,-2.40%
4/11/12,Import Price Index MoM,1.30%
4/11/12,Import Price Index YoY,3.40%
4/11/12,Monthly Budget Statement,($198.20)
4/12/12,Trade Balance,($46.00)
4/12/12,Initial Jobless Claims,380
4/12/12,Continuing Claims,3251
4/12/12,Langer Consumer Comfort,-32.8
4/13/12,CPI MoM,0.30%
4/13/12,CPI Ex Food and Energy MoM,0.20%
4/13/12,CPI YoY,2.70%
4/13/12,CPI Ex Food and Energy YoY,2.30%
4/13/12,CPI Index NSA,229.392
4/13/12,CPI Core Index SA,228.432
4/13/12,U. of Mich. Sentiment,75.7
4/16/12,Retail Sales Advance MoM,0.80%
4/16/12,Empire Manufacturing,6.6
4/16/12,Retail Sales Ex Auto MoM,0.80%
4/16/12,Retail Sales Ex Auto and Gas,0.70%
4/16/12,Retail Sales Control Group,0.40%
4/16/12,Total Net TIC Flows,$107.70 
4/16/12,Net Long-term TIC Flows,$10.10 
4/16/12,Business Inventories,0.60%
4/16/12,NAHB Housing Market Index,25
4/17/12,Housing Starts,654
4/17/12,Housing Starts MoM,-5.80%
4/17/12,Building Permits,747
4/17/12,Industrial Production MoM,0.00%
4/17/12,Capacity Utilization,78.60%
4/17/12,Manufacturing (SIC) Production,-0.20%
4/18/12,MBA Mortgage Applications,6.90%
4/19/12,Initial Jobless Claims,386
4/19/12,Continuing Claims,3297
4/19/12,Langer Consumer Comfort,-31.4
4/19/12,Philadelphia Fed Business Outlook,8.5
4/19/12,Existing Home Sales,4.48
4/19/12,Existing Home Sales MoM,-2.60%
4/19/12,Leading Index,0.30%
4/24/12,Richmond Fed Manufact. Index,14
4/24/12,Conf. Board Consumer Confidence,69.2
4/24/12,FHFA House Price Index MoM,0.30%
4/24/12,New Home Sales,328
4/24/12,New Home Sales MoM,-7.10%
4/25/12,MBA Mortgage Applications,-3.80%
4/25/12,Durable Goods Orders,-4.20%
4/25/12,Durables Ex Transportation,-1.10%
4/25/12,Cap Goods Orders Nondef Ex Air,-0.80%
4/25/12,Cap Goods Ship Nondef Ex Air,2.60%
4/25/12,FOMC Rate Decision (Upper Bound),0.25%
4/26/12,Chicago Fed Nat Activity Index,-0.29
4/26/12,Initial Jobless Claims,388
4/26/12,Continuing Claims,3315
4/26/12,Langer Consumer Comfort,-35.8
4/26/12,Pending Home Sales MoM,4.10%
4/26/12,Pending Home Sales NSA YoY,10.80%
4/26/12,Kansas City Fed Manf. Activity,3
4/27/12,Employment Cost Index,0.40%
4/27/12,GDP Annualized QoQ,2.20%
4/27/12,Personal Consumption,2.90%
4/27/12,GDP Price Index,1.50%
4/27/12,Core PCE QoQ,2.10%
4/27/12,U. of Mich. Sentiment,76.4
4/30/12,Personal Income,0.40%
4/30/12,Personal Spending,0.30%
4/30/12,PCE Deflator MoM,0.20%
4/30/12,PCE Deflator YoY,2.10%
4/30/12,PCE Core Deflator MoM,0.20%
4/30/12,PCE Core Deflator YoY,2.00%
4/30/12,MNI Chicago PMI,56.2
4/30/12,Dallas Fed Manf. Activity,-3.4
5/1/12,Construction Spending MoM,0.10%
5/1/12,ISM Prices Paid,61
5/1/12,ISM Manufacturing,54.8
5/1/12,Wards Total Vehicle Sales,14.38
5/2/12,MBA Mortgage Applications,0.10%
5/2/12,ADP Employment Change,119
5/2/12,Factory Orders,-1.50%
5/3/12,Challenger Job Cuts YoY,11.20%
5/3/12,Nonfarm Productivity,-0.50%
5/3/12,Unit Labor Costs,2.00%
5/3/12,Initial Jobless Claims,365
5/3/12,Continuing Claims,3276
5/3/12,Langer Consumer Comfort,-37.6
5/3/12,ISM Services Index,53.5
5/4/12,Change in Nonfarm Payrolls,115
5/4/12,Change in Private Payrolls,130
5/4/12,Change in Manufact. Payrolls,16
5/4/12,Unemployment Rate,8.10%
5/4/12,Average Hourly Earnings MoM,0.00%
5/4/12,Average Hourly Earnings YoY,1.80%
5/4/12,Average Weekly Hours All Employees,34.5
5/4/12,Underemployment Rate,14.50%
5/7/12,Consumer Credit,$21.36 
5/8/12,NFIB Small Business Optimism,94.5
5/8/12,JOLTS Job Openings,3737
5/9/12,MBA Mortgage Applications,1.70%
5/9/12,Wholesale Inventories MoM,0.30%
5/10/12,Import Price Index MoM,-0.50%
5/10/12,Import Price Index YoY,0.50%
5/10/12,Trade Balance,($51.80)
5/10/12,Initial Jobless Claims,367
5/10/12,Continuing Claims,3229
5/10/12,Langer Consumer Comfort,-40.4
5/10/12,Monthly Budget Statement,$59.10 
5/11/12,U. of Mich. Sentiment,77.8
5/15/12,CPI MoM,0.00%
5/15/12,CPI Ex Food and Energy MoM,0.20%
5/15/12,CPI YoY,2.30%
5/15/12,CPI Ex Food and Energy YoY,2.30%
5/15/12,CPI Index NSA,230.085
5/15/12,CPI Core Index SA,228.984
5/15/12,Empire Manufacturing,17.1
5/15/12,Retail Sales Advance MoM,0.10%
5/15/12,Retail Sales Ex Auto MoM,0.10%
5/15/12,Retail Sales Ex Auto and Gas,0.10%
5/15/12,Retail Sales Control Group,0.40%
5/15/12,Total Net TIC Flows,($49.90)
5/15/12,Net Long-term TIC Flows,$36.20 
5/15/12,Business Inventories,0.30%
5/15/12,NAHB Housing Market Index,29
5/16/12,MBA Mortgage Applications,9.20%
5/16/12,Housing Starts,717
5/16/12,Housing Starts MoM,2.60%
5/16/12,Building Permits,715
5/16/12,Industrial Production MoM,1.10%
5/16/12,Capacity Utilization,79.20%
5/16/12,Manufacturing (SIC) Production,0.60%
5/16/12,Mortgage Delinquencies,7.40%
5/16/12,MBA Mortgage Foreclosures,4.39%
5/16/12,FOMC Meeting Minutes,--
5/17/12,Initial Jobless Claims,370
5/17/12,Continuing Claims,3265
5/17/12,Langer Consumer Comfort,-43.6
5/17/12,Philadelphia Fed Business Outlook,-5.8
5/17/12,Leading Index,-0.10%
5/21/12,Chicago Fed Nat Activity Index,0.11
5/22/12,Richmond Fed Manufact. Index,4
5/22/12,Existing Home Sales,4.62
5/22/12,Existing Home Sales MoM,3.40%
5/23/12,MBA Mortgage Applications,3.80%
5/23/12,FHFA House Price Index MoM,1.80%
5/23/12,House Price Purchase Index QoQ,0.60%
5/23/12,New Home Sales,343
5/23/12,New Home Sales MoM,3.30%
5/24/12,Durable Goods Orders,0.20%
5/24/12,Durables Ex Transportation,-0.60%
5/24/12,Cap Goods Orders Nondef Ex Air,-1.90%
5/24/12,Cap Goods Ship Nondef Ex Air,-1.40%
5/24/12,Initial Jobless Claims,370
5/24/12,Continuing Claims,3260
5/24/12,Langer Consumer Comfort,-42
5/24/12,Kansas City Fed Manf. Activity,9
5/25/12,U. of Mich. Sentiment,79.3
5/29/12,Conf. Board Consumer Confidence,64.9
5/29/12,Dallas Fed Manf. Activity,-5.1
5/30/12,MBA Mortgage Applications,-1.30%
5/30/12,Pending Home Sales MoM,-5.50%
5/30/12,Pending Home Sales NSA YoY,14.70%
5/31/12,Challenger Job Cuts YoY,66.70%
5/31/12,ADP Employment Change,133
5/31/12,GDP Annualized QoQ,1.90%
5/31/12,Personal Consumption,2.70%
5/31/12,GDP Price Index,1.70%
5/31/12,Core PCE QoQ,2.10%
5/31/12,Initial Jobless Claims,383
5/31/12,Continuing Claims,3242
5/31/12,MNI Chicago PMI,52.7
5/31/12,Langer Consumer Comfort,-39.3
6/1/12,Change in Nonfarm Payrolls,69
6/1/12,Change in Private Payrolls,82
6/1/12,Change in Manufact. Payrolls,12
6/1/12,Unemployment Rate,8.20%
6/1/12,Average Hourly Earnings MoM,0.10%
6/1/12,Average Hourly Earnings YoY,1.70%
6/1/12,Average Weekly Hours All Employees,34.4
6/1/12,Underemployment Rate,14.80%
6/1/12,Personal Income,0.20%
6/1/12,Personal Spending,0.30%
6/1/12,PCE Deflator MoM,0.00%
6/1/12,PCE Deflator YoY,1.80%
6/1/12,PCE Core Deflator MoM,0.10%
6/1/12,PCE Core Deflator YoY,1.90%
6/1/12,ISM Manufacturing,53.5
6/1/12,ISM Prices Paid,47.5
6/1/12,Construction Spending MoM,0.30%
6/1/12,Wards Total Vehicle Sales,13.73
6/4/12,Factory Orders,-0.60%
6/5/12,ISM Services Index,53.7
6/6/12,MBA Mortgage Applications,1.30%
6/6/12,Nonfarm Productivity,-0.90%
6/6/12,Unit Labor Costs,1.30%
6/7/12,Initial Jobless Claims,377
6/7/12,Continuing Claims,3293
6/7/12,Langer Consumer Comfort,-37.6
6/7/12,Consumer Credit,$6.52 
6/8/12,Trade Balance,($50.10)
6/8/12,Wholesale Inventories MoM,0.60%
6/12/12,NFIB Small Business Optimism,94.4
6/12/12,Import Price Index MoM,-1.00%
6/12/12,Import Price Index YoY,-0.30%
6/12/12,Monthly Budget Statement,($124.60)
6/13/12,MBA Mortgage Applications,18.00%
6/13/12,Retail Sales Advance MoM,-0.20%
6/13/12,Retail Sales Ex Auto MoM,-0.40%
6/13/12,Retail Sales Ex Auto and Gas,-0.10%
6/13/12,Retail Sales Control Group,0.00%
6/13/12,Business Inventories,0.40%
6/14/12,Current Account Balance,($137.30)
6/14/12,CPI MoM,-0.30%
6/14/12,CPI Ex Food and Energy MoM,0.20%
6/14/12,CPI YoY,1.70%
6/14/12,CPI Ex Food and Energy YoY,2.30%
6/14/12,CPI Index NSA,229.815
6/14/12,CPI Core Index SA,229.446
6/14/12,Initial Jobless Claims,386
6/14/12,Continuing Claims,3278
6/14/12,Langer Consumer Comfort,-36.4
6/15/12,Empire Manufacturing,2.3
6/15/12,Total Net TIC Flows,($20.50)
6/15/12,Net Long-term TIC Flows,$25.60 
6/15/12,Industrial Production MoM,-0.10%
6/15/12,Capacity Utilization,79.00%
6/15/12,Manufacturing (SIC) Production,-0.40%
6/15/12,U. of Mich. Sentiment,74.1
6/18/12,NAHB Housing Market Index,29
6/19/12,Housing Starts,708
6/19/12,Housing Starts MoM,-4.80%
6/19/12,Building Permits,780
6/19/12,JOLTS Job Openings,3416
6/20/12,MBA Mortgage Applications,-0.80%
6/20/12,FOMC Rate Decision (Upper Bound),0.25%
6/21/12,Initial Jobless Claims,387
6/21/12,Continuing Claims,3299
6/21/12,Langer Consumer Comfort,-37.9
6/21/12,Philadelphia Fed Business Outlook,-16.6
6/21/12,Existing Home Sales,4.55
6/21/12,Existing Home Sales MoM,-1.50%
6/21/12,FHFA House Price Index MoM,0.80%
6/21/12,Leading Index,0.30%
6/25/12,Chicago Fed Nat Activity Index,-0.45
6/25/12,New Home Sales,369
6/25/12,New Home Sales MoM,7.60%
6/25/12,Dallas Fed Manf. Activity,5.8
6/26/12,Richmond Fed Manufact. Index,-3
6/26/12,Conf. Board Consumer Confidence,62
6/27/12,MBA Mortgage Applications,-7.10%
6/27/12,Durable Goods Orders,1.10%
6/27/12,Durables Ex Transportation,0.40%
6/27/12,Cap Goods Orders Nondef Ex Air,1.60%
6/27/12,Cap Goods Ship Nondef Ex Air,0.40%
6/27/12,Pending Home Sales MoM,5.90%
6/27/12,Pending Home Sales NSA YoY,15.30%
6/28/12,GDP Annualized QoQ,1.90%
6/28/12,Personal Consumption,2.50%
6/28/12,GDP Price Index,2.00%
6/28/12,Core PCE QoQ,2.30%
6/28/12,Initial Jobless Claims,386
6/28/12,Continuing Claims,3296
6/28/12,Langer Consumer Comfort,-36.1
6/28/12,Kansas City Fed Manf. Activity,3
6/29/12,Personal Income,0.20%
6/29/12,Personal Spending,0.00%
6/29/12,PCE Deflator MoM,-0.20%
6/29/12,PCE Deflator YoY,1.50%
6/29/12,PCE Core Deflator MoM,0.10%
6/29/12,PCE Core Deflator YoY,1.80%
6/29/12,MNI Chicago PMI,52.9
6/29/12,U. of Mich. Sentiment,73.2
7/2/12,ISM Manufacturing,49.7
7/2/12,ISM Prices Paid,37
7/2/12,Construction Spending MoM,0.90%
7/3/12,Factory Orders,0.70%
7/3/12,Wards Total Vehicle Sales,14.05
7/5/12,MBA Mortgage Applications,-6.70%
7/5/12,Challenger Job Cuts YoY,-9.40%
7/5/12,ADP Employment Change,176
7/5/12,Initial Jobless Claims,374
7/5/12,Continuing Claims,3306
7/5/12,Langer Consumer Comfort,-37.5
7/5/12,ISM Services Index,52.1
7/6/12,Change in Nonfarm Payrolls,80
7/6/12,Change in Private Payrolls,84
7/6/12,Change in Manufact. Payrolls,11
7/6/12,Unemployment Rate,8.20%
7/6/12,Average Hourly Earnings MoM,0.30%
7/6/12,Average Hourly Earnings YoY,2.00%
7/6/12,Average Weekly Hours All Employees,34.5
7/6/12,Underemployment Rate,14.90%
7/9/12,Consumer Credit,$17.12 
7/10/12,NFIB Small Business Optimism,91.4
7/10/12,JOLTS Job Openings,3642
7/11/12,MBA Mortgage Applications,-2.10%
7/11/12,Trade Balance,($48.70)
7/11/12,Wholesale Inventories MoM,0.30%
7/11/12,FOMC Meeting Minutes,--
7/12/12,Import Price Index MoM,-2.70%
7/12/12,Import Price Index YoY,-2.60%
7/12/12,Initial Jobless Claims,350
7/12/12,Continuing Claims,3304
7/12/12,Langer Consumer Comfort,-37.5
7/12/12,Monthly Budget Statement,($59.70)
7/13/12,U. of Mich. Sentiment,72
7/16/12,Empire Manufacturing,7.4
7/16/12,Retail Sales Advance MoM,-0.50%
7/16/12,Retail Sales Ex Auto MoM,-0.40%
7/16/12,Retail Sales Ex Auto and Gas,-0.20%
7/16/12,Retail Sales Control Group,-0.10%
7/16/12,Business Inventories,0.30%
7/17/12,CPI MoM,0.00%
7/17/12,CPI Ex Food and Energy MoM,0.20%
7/17/12,CPI YoY,1.70%
7/17/12,CPI Ex Food and Energy YoY,2.20%
7/17/12,CPI Index NSA,229.478
7/17/12,CPI Core Index SA,229.916
7/17/12,Total Net TIC Flows,$101.70 
7/17/12,Net Long-term TIC Flows,$55.00 
7/17/12,Industrial Production MoM,0.40%
7/17/12,Capacity Utilization,78.90%
7/17/12,Manufacturing (SIC) Production,0.70%
7/17/12,NAHB Housing Market Index,35
7/18/12,MBA Mortgage Applications,16.90%
7/18/12,Housing Starts,760
7/18/12,Housing Starts MoM,6.90%
7/18/12,Building Permits,755
7/19/12,Initial Jobless Claims,386
7/19/12,Continuing Claims,3314
7/19/12,Langer Consumer Comfort,-37.9
7/19/12,Philadelphia Fed Business Outlook,-12.9
7/19/12,Existing Home Sales,4.37
7/19/12,Existing Home Sales MoM,-5.40%
7/19/12,Leading Index,-0.30%
